company,old,title,link,salary,netgross,city
UAB „Narbutas International“,prieš 1 d.,DUOMENŲ BAZĖS ADMINISTRATORIUS (-Ė),https://www.cvbankas.lt/duomenu-bazes-administratorius-e-vilniuje/1-9095003,1248-1448,Neatskaičius mokesčių,Vilniuje
CUJO Baltic UAB,prieš 1 d.,Junior Network Operations Analyst,https://www.cvbankas.lt/junior-network-operations-analyst-vilniuje/1-9094831,Nuo 1700,Neatskaičius mokesčių,Vilniuje
UAB „Kesko Senukai Digital“,prieš 1 d.,Senior Android Developer,https://www.cvbankas.lt/senior-android-developer-vilniuje/1-9094855,5000-6500,Neatskaičius mokesčių,Vilniuje
UAB „Kesko Senukai Digital“,prieš 1 d.,Senior PHP Developer,https://www.cvbankas.lt/senior-php-developer-darbas-namuose/1-9094853,4000-6000,Neatskaičius mokesčių,Darbas namuose
UAB „Kesko Senukai Digital“,prieš 1 d.,Senior iOS Developer,https://www.cvbankas.lt/senior-ios-developer-darbas-namuose/1-9094851,5000-6500,Neatskaičius mokesčių,Darbas namuose
UAB „Kesko Senukai Digital“,prieš 1 d.,Business Analyst,https://www.cvbankas.lt/business-analyst-vilniuje/1-9094825,Nuo 2500,Neatskaičius mokesčių,Vilniuje
UAB „Elektroninės informacijos centras“,prieš 1 d.,PHP Programuotojas (-a),https://www.cvbankas.lt/php-programuotojas-a-darbas-namuose/1-9094255,1000-2200,Į rankas,Darbas namuose
UAB „SCM Software“,prieš 1 d.,Mid./ Senior .NET PROGRAMUOTOJAS (-A),https://www.cvbankas.lt/mid-senior-net-programuotojas-a-vilniuje/1-4376869,Iki 3300,Į rankas,Vilniuje
UAB „SCM Software“,prieš 1 d.,Mid./ Senior .NET PROGRAMUOTOJAS (-A),https://www.cvbankas.lt/mid-senior-net-programuotojas-a-siauliuose/1-4393729,Iki 3000,Į rankas,Šiauliuose
Lietuvos Respublikos valstybės saugumo departamentas,prieš 1 d.,KVIEČIAME IT SPECIALISTUS,https://www.cvbankas.lt/kvieciame-it-specialistus-vilniuje/1-9094371,Nuo 1600,Į rankas,Vilniuje
Miami Image Society LLC,prieš 1 d.,PHP 7.3 Backend Developer,https://www.cvbankas.lt/php-7-3-backend-developer-darbas-namuose/1-9094445,,,Darbas namuose
UAB „Hegelmann Logistics“,prieš 1 d.,LOGISTIKOS DUOMENŲ ANALITIKAS (-Ė),https://www.cvbankas.lt/logistikos-duomenu-analitikas-e-kaune/1-9093943,Nuo 1100,Į rankas,Kaune
Revel Systems,prieš 1 d.,Junior Salesforce Business Analyst,https://www.cvbankas.lt/junior-salesforce-business-analyst-vilniuje/1-9093929,2000-2400,Neatskaičius mokesčių,Vilniuje
